1,Ladybird,2017,5,https://www.rottentomatoes.com/m/lady_bird/
2,Homecoming: A Film by Beyonce,2019,15,https://www.rottentomatoes.com/m/homecoming_a_film_by_beyonce
3,Aquarius,2016,25,https://www.rottentomatoes.com/m/aquarius/
4,The Florida Project,2017,35,https://www.rottentomatoes.com/m/the_florida_project/
5,I Lost My Body,2019,45,https://www.rottentomatoes.com/m/i_lost_my_body/
6,The Death of Stalin,2018,55,https://www.rottentomatoes.com/m/the_death_of_stalin/
